Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
8	5	combined	Drop	416	56	226	30.5879
8	6	combined	Drop	0	0	0	0
8	7	combined	Drop	0	0	0	0
8	8	combined	Drop	2900	3005	1438	1489.96
8.5	0	combined	Drop	5646	159	2825	80.0049
8.5	1	combined	Drop	64	8	19	4.56934
8.5	2	combined	Drop	192	5	104	2.94531
8.5	3	combined	Drop	0	0	0	0
8.5	4	combined	Drop	546	75	280	37.1562
8.5	5	combined	Drop	524	55	276	27.9727
8.5	6	combined	Drop	0	0	0	0
8.5	7	combined	Drop	0	0	0	0
8.5	8	combined	Drop	2664	2761	1303	1350.08
9	0	combined	Drop	5630	159	2813	79.6016
9	1	combined	Drop	126	9	71	5.03418
9	2	combined	Drop	163	4	78	2.20898
9	3	combined	Drop	0	0	0	0
9	4	combined	Drop	118	24	6	6.2168
9	5	combined	Drop	138	16	21	3.6084
9	6	combined	Drop	0	0	0	0
9	7	combined	Drop	0	0	0	0
9	8	combined	Drop	3396	3519	1790	1854.62
9.5	0	combined	Drop	5630	159	2815	79.7217
9.5	1	combined	Drop	132	9	67	4.9209
9.5	2	combined	Drop	163	4	82	2.32227
9.5	3	combined	Drop	0	0	0	0
9.5	4	combined	Drop	369	45	216	25.2656
9.5	5	combined	Drop	422	51	247	30.1748
9.5	6	combined	Drop	0	0	0	0
9.5	7	combined	Drop	0	0	0	0
9.5	8	combined	Drop	3069	3180	1494	1547.98
10	0	combined	Drop	5646	159	2825	80.0049
10	1	combined	Drop	77	6	32	2.92188
10	2	combined	Drop	138	3	66	1.86914
10	3	combined	Drop	0	0	0	0
10	4	combined	Drop	309	47	147	24.3193
10	5	combined	Drop	402	57	199	29.8232
10	6	combined	Drop	0	0	0	0
10	7	combined	Drop	0	0	0	0
10	8	combined	Drop	3039	3149	1516	1570.78
10.5	0	combined	Drop	5649	159	2825	80.0049
10.5	1	combined	Drop	122	9	67	4.9209
10.5	2	combined	Drop	163	4	85	2.40723
10.5	3	combined	Drop	0	0	0	0
10.5	4	combined	Drop	567	70	316	38.1758
10.5	5	combined	Drop	429	53	218	26.3301
10.5	6	combined	Drop	0	0	0	0
10.5	7	combined	Drop	0	0	0	0
10.5	8	combined	Drop	2827	2929	1387	1437.12
11	0	combined	Drop	5662	160	2833	80.1553
11	1	combined	Drop	189	9	103	4.93164
11	2	combined	Drop	170	4	86	2.43555
11	3	combined	Drop	0	0	0	0
11	4	combined	Drop	187	30	46	10.373
11	5	combined	Drop	122	11	23	0.651367
11	6	combined	Drop	0	0	0	0
11	7	combined	Drop	0	0	0	0
11	8	combined	Drop	3306	3425	1713	1774.84
11.5	0	combined	Drop	5647	159	2822	79.8545
11.5	1	combined	Drop	37	1	0	0
11.5	2	combined	Drop	78	2	28	0.787109
11.5	3	combined	Drop	0	0	0	0
11.5	4	combined	Drop	37	5	0	0
11.5	5	combined	Drop	72	6	30	2.84277
11.5	6	combined	Drop	0	0	0	0
11.5	7	combined	Drop	0	0	0	0
11.5	8	combined	Drop	3928	4070	2042	2115.76
12	0	combined	Drop	5681	160	2845	80.5713
12	1	combined	Drop	7	0	0	0
12	2	combined	Drop	15	0	0	0
12	3	combined	Drop	0	0	0	0
12	4	combined	Drop	7	0	0	0
12	5	combined	Drop	14	1	0	0
12	6	combined	Drop	0	0	0	0
12	7	combined	Drop	0	0	0	0
12	8	combined	Drop	4140	4290	2097	2172.77
12.5	0	combined	Drop	5686	160	2844	80.543
12.5	1	combined	Drop	1	0	0	0
12.5	2	combined	Drop	2	0	0	0
12.5	3	combined	Drop	0	0	0	0
12.5	4	combined	Drop	1	0	0	0
12.5	5	combined	Drop	2	0	0	0
12.5	6	combined	Drop	0	0	0	0
12.5	7	combined	Drop	0	0	0	0
12.5	8	combined	Drop	4181	4332	2096	2171.73
13	0	combined	Drop	5689	160	2845	80.5713
13	1	combined	Drop	0	0	0	0
13	2	combined	Drop	0	0	0	0
13	3	combined	Drop	0	0	0	0
13	4	combined	Drop	0	0	0	0
13	5	combined	Drop	0	0	0	0
13	6	combined	Drop	0	0	0	0
13	7	combined	Drop	0	0	0	0
13	8	combined	Drop	4189	4341	2096	2171.73
13.5	0	combined	Drop	5686	160	2843	80.4385
13.5	1	combined	Drop	0	0	0	0
13.5	2	combined	Drop	0	0	0	0
13.5	3	combined	Drop	0	0	0	0
13.5	4	combined	Drop	0	0	0	0
13.5	5	combined	Drop	0	0	0	0
13.5	6	combined	Drop	0	0	0	0
13.5	7	combined	Drop	0	0	0	0
13.5	8	combined	Drop	4196	4347	2099	2174.79
14	0	combined	Drop	5689	160	2845	80.5713
14	1	combined	Drop	0	0	0	0
14	2	combined	Drop	0	0	0	0
14	3	combined	Drop	0	0	0	0
14	4	combined	Drop	0	0	0	0
14	5	combined	Drop	0	0	0	0
14	6	combined	Drop	0	0	0	0
14	7	combined	Drop	0	0	0	0
14	8	combined	Drop	4192	4344	2096	2171.73
14.5	0	combined	Drop	5689	160	2845	80.5713
14.5	1	combined	Drop	0	0	0	0
14.5	2	combined	Drop	0	0	0	0
14.5	3	combined	Drop	0	0	0	0
14.5	4	combined	Drop	0	0	0	0
14.5	5	combined	Drop	0	0	0	0
14.5	6	combined	Drop	0	0	0	0
14.5	7	combined	Drop	0	0	0	0
14.5	8	combined	Drop	4192	4343	2096	2171.73
15	0	combined	Drop	5689	160	2845	80.5713
15	1	combined	Drop	0	0	0	0
15	2	combined	Drop	0	0	0	0
15	3	combined	Drop	0	0	0	0
15	4	combined	Drop	0	0	0	0
15	5	combined	Drop	0	0	0	0
15	6	combined	Drop	0	0	0	0
15	7	combined	Drop	0	0	0	0
15	8	combined	Drop	4192	4343	2096	2171.73
15.5	0	combined	Drop	5688	160	2844	80.543
15.5	1	combined	Drop	0	0	0	0
15.5	2	combined	Drop	0	0	0	0
15.5	3	combined	Drop	0	0	0	0
15.5	4	combined	Drop	0	0	0	0
15.5	5	combined	Drop	0	0	0	0
15.5	6	combined	Drop	0	0	0	0
15.5	7	combined	Drop	0	0	0	0
15.5	8	combined	Drop	4192	4343	2096	2171.73
16	0	combined	Drop	5686	160	2843	80.4404
16	1	combined	Drop	0	0	0	0
16	2	combined	Drop	0	0	0	0
16	3	combined	Drop	0	0	0	0
16	4	combined	Drop	0	0	0	0
16	5	combined	Drop	0	0	0	0
16	6	combined	Drop	0	0	0	0
16	7	combined	Drop	0	0	0	0
16	8	combined	Drop	4196	4348	2099	2174.79
16.5	0	combined	Drop	5689	160	2845	80.5713
16.5	1	combined	Drop	0	0	0	0
16.5	2	combined	Drop	0	0	0	0
16.5	3	combined	Drop	0	0	0	0
16.5	4	combined	Drop	0	0	0	0
16.5	5	combined	Drop	0	0	0	0
16.5	6	combined	Drop	0	0	0	0
16.5	7	combined	Drop	0	0	0	0
16.5	8	combined	Drop	4192	4344	2096	2171.73
17	0	combined	Drop	5689	160	2845	80.5713
17	1	combined	Drop	0	0	0	0
17	2	combined	Drop	0	0	0	0
17	3	combined	Drop	0	0	0	0
17	4	combined	Drop	0	0	0	0
17	5	combined	Drop	0	0	0	0
17	6	combined	Drop	0	0	0	0
17	7	combined	Drop	0	0	0	0
17	8	combined	Drop	4192	4343	2096	2171.73
17.5	0	combined	Drop	5689	160	2845	80.5713
17.5	1	combined	Drop	0	0	0	0
17.5	2	combined	Drop	0	0	0	0
17.5	3	combined	Drop	0	0	0	0
17.5	4	combined	Drop	0	0	0	0
17.5	5	combined	Drop	0	0	0	0
17.5	6	combined	Drop	0	0	0	0
17.5	7	combined	Drop	0	0	0	0
17.5	8	combined	Drop	4193	4345	2097	2172.77
18	0	combined	Drop	5689	160	2845	80.5713
18	1	combined	Drop	0	0	0	0
18	2	combined	Drop	0	0	0	0
18	3	combined	Drop	0	0	0	0
18	4	combined	Drop	0	0	0	0
18	5	combined	Drop	0	0	0	0
18	6	combined	Drop	0	0	0	0
18	7	combined	Drop	0	0	0	0
18	8	combined	Drop	4192	4343	2096	2171.73
18.5	0	combined	Drop	5685	160	2842	80.4131
18.5	1	combined	Drop	0	0	0	0
18.5	2	combined	Drop	0	0	0	0
18.5	3	combined	Drop	0	0	0	0
18.5	4	combined	Drop	0	0	0	0
18.5	5	combined	Drop	0	0	0	0
18.5	6	combined	Drop	0	0	0	0
18.5	7	combined	Drop	0	0	0	0
18.5	8	combined	Drop	4196	4348	2099	2174.79
19	0	combined	Drop	5689	160	2845	80.5713
