Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
0.5	0	combined	Drop	4473	126	2796	78.9336
0.5	1	combined	Drop	0	0	0	0
0.5	2	combined	Drop	96	2	60	1.69043
0.5	3	combined	Drop	0	0	0	0
0.5	4	combined	Drop	0	0	0	0
0.5	5	combined	Drop	168	14	105	8.99707
0.5	6	combined	Drop	0	0	0	0
0.5	7	combined	Drop	0	0	0	0
0.5	8	combined	Drop	2756	2856	1723	1785.08
1	0	combined	Drop	5321	150	2767	78.1396
1	1	combined	Drop	187	11	117	7.31738
1	2	combined	Drop	155	4	85	2.38867
1	3	combined	Drop	0	0	0	0
1	4	combined	Drop	20	21	13	13.4668
1	5	combined	Drop	140	33	67	18.9961
1	6	combined	Drop	0	0	0	0
1	7	combined	Drop	0	0	0	0
1	8	combined	Drop	2973	3081	1514	1568.63
1.5	0	combined	Drop	5435	153	2732	77.3711
1.5	1	combined	Drop	205	13	105	7.00488
1.5	2	combined	Drop	248	6	136	3.85156
1.5	3	combined	Drop	0	0	0	0
1.5	4	combined	Drop	413	46	256	26.3984
1.5	5	combined	Drop	479	50	282	27.1348
1.5	6	combined	Drop	0	0	0	0
1.5	7	combined	Drop	0	0	0	0
1.5	8	combined	Drop	2305	2388	1069	1107.61
2	0	combined	Drop	5618	158	2832	80.0947
2	1	combined	Drop	298	38	161	22.6943
2	2	combined	Drop	376	10	204	5.77734
2	3	combined	Drop	0	0	0	0
2	4	combined	Drop	197	31	72	14.1318
2	5	combined	Drop	155	22	37	8.10156
2	6	combined	Drop	0	0	0	0
2	7	combined	Drop	24	2	15	1.42871
2	8	combined	Drop	2726	2824	1416	1467.12
2.5	0	combined	Drop	5643	159	2825	80.0049
2.5	1	combined	Drop	123	19	40	7.17969
2.5	2	combined	Drop	252	7	111	3.14355
2.5	3	combined	Drop	3	3	2	2.07227
2.5	4	combined	Drop	362	44	202	23.8613
2.5	5	combined	Drop	202	23	107	12.1006
2.5	6	combined	Drop	0	0	0	0
2.5	7	combined	Drop	30	5	16	3.47656
2.5	8	combined	Drop	2631	2726	1304	1351.12
3	0	combined	Drop	5626	159	2811	79.5176
3	1	combined	Drop	240	21	135	10.8779
3	2	combined	Drop	220	6	106	3.00195
3	3	combined	Drop	0	0	0	0
3	4	combined	Drop	88	25	10	10.3613
3	5	combined	Drop	69	21	18	10.582
3	6	combined	Drop	0	0	0	0
3	7	combined	Drop	5	0	0	0
3	8	combined	Drop	2951	3058	1516	1570.73
3.5	0	combined	Drop	5643	159	2824	79.9766
3.5	1	combined	Drop	155	33	67	18.0225
3.5	2	combined	Drop	152	4	68	1.92578
3.5	3	combined	Drop	14	14	9	9.3252
3.5	4	combined	Drop	267	24	156	12.4805
3.5	5	combined	Drop	183	20	106	10.0566
3.5	6	combined	Drop	0	0	0	0
3.5	7	combined	Drop	17	3	10	2.29883
3.5	8	combined	Drop	2931	3036	1463	1515.86
4	0	combined	Drop	5648	159	2825	80.0049
4	1	combined	Drop	359	40	205	20.9229
4	2	combined	Drop	283	7	158	4.47461
4	3	combined	Drop	2	2	0	0
4	4	combined	Drop	339	59	179	34.2959
4	5	combined	Drop	291	33	159	18.6123
4	6	combined	Drop	0	0	0	0
4	7	combined	Drop	3	0	0	0
4	8	combined	Drop	2637	2732	1282	1328.32
4.5	0	combined	Drop	5646	159	2823	79.8564
4.5	1	combined	Drop	171	12	62	2.76367
4.5	2	combined	Drop	237	6	113	3.2002
4.5	3	combined	Drop	0	0	0	0
4.5	4	combined	Drop	384	49	198	23.7422
4.5	5	combined	Drop	165	22	67	9.95996
4.5	6	combined	Drop	0	0	0	0
4.5	7	combined	Drop	0	0	0	0
4.5	8	combined	Drop	2898	3003	1482	1535.49
5	0	combined	Drop	5649	159	2825	80.0049
5	1	combined	Drop	325	23	182	13.2168
5	2	combined	Drop	255	7	130	3.68164
5	3	combined	Drop	0	0	0	0
5	4	combined	Drop	539	90	289	50.5127
5	5	combined	Drop	249	36	135	19.9482
5	6	combined	Drop	0	0	0	0
5	7	combined	Drop	0	0	0	0
5	8	combined	Drop	2674	2770	1309	1356.3
5.5	0	combined	Drop	5648	159	2824	79.9766
5.5	1	combined	Drop	364	35	187	19.4053
5.5	2	combined	Drop	299	8	155	4.38965
5.5	3	combined	Drop	0	0	0	0
5.5	4	combined	Drop	413	89	191	44.7139
5.5	5	combined	Drop	283	34	146	17.2363
5.5	6	combined	Drop	0	0	0	0
5.5	7	combined	Drop	0	0	0	0
5.5	8	combined	Drop	2552	2644	1261	1306.56
6	0	combined	Drop	5628	159	2812	79.5625
6	1	combined	Drop	298	19	141	8.02246
6	2	combined	Drop	253	7	121	3.41992
6	3	combined	Drop	0	0	0	0
6	4	combined	Drop	156	37	46	12.3887
6	5	combined	Drop	251	31	122	15.54
6	6	combined	Drop	0	0	0	0
6	7	combined	Drop	0	0	0	0
6	8	combined	Drop	3200	3315	1681	1741.69
6.5	0	combined	Drop	5645	159	2825	80.0049
6.5	1	combined	Drop	360	36	188	20.4414
6.5	2	combined	Drop	282	7	145	4.10645
6.5	3	combined	Drop	0	0	0	0
6.5	4	combined	Drop	392	72	226	40.666
6.5	5	combined	Drop	357	43	192	23.5781
6.5	6	combined	Drop	0	0	0	0
6.5	7	combined	Drop	0	0	0	0
6.5	8	combined	Drop	2776	2876	1335	1383.24
7	0	combined	Drop	5647	159	2824	79.9766
7	1	combined	Drop	302	41	144	21.2109
7	2	combined	Drop	253	6	123	3.4834
7	3	combined	Drop	0	0	0	0
7	4	combined	Drop	510	94	270	49.9746
7	5	combined	Drop	297	40	141	20.1182
7	6	combined	Drop	0	0	0	0
7	7	combined	Drop	0	0	0	0
7	8	combined	Drop	2820	2922	1416	1467.16
7.5	0	combined	Drop	5644	159	2822	79.8398
7.5	1	combined	Drop	385	36	203	17.8428
7.5	2	combined	Drop	388	10	211	5.97559
7.5	3	combined	Drop	0	0	0	0
7.5	4	combined	Drop	297	56	122	23.6084
7.5	5	combined	Drop	262	23	127	9.64355
7.5	6	combined	Drop	0	0	0	0
7.5	7	combined	Drop	0	0	0	0
7.5	8	combined	Drop	2648	2744	1303	1350.03
8	0	combined	Drop	5648	159	2825	80.0049
8	1	combined	Drop	328	36	157	18.5557
8	2	combined	Drop	272	7	122	3.45508
8	3	combined	Drop	0	0	0	0
8	4	combined	Drop	613	72	346	38.0146
8	5	combined	Drop	262	33	131	17.8193
8	6	combined	Drop	0	0	0	0
8	7	combined	Drop	0	0	0	0
8	8	combined	Drop	2587	2680	1286	1332.47
8.5	0	combined	Drop	5649	159	2825	80.0049
8.5	1	combined	Drop	281	26	135	11.8857
8.5	2	combined	Drop	281	7	142	4.02148
8.5	3	combined	Drop	0	0	0	0
8.5	4	combined	Drop	273	71	94	35.9199
8.5	5	combined	Drop	260	46	130	24.8457
8.5	6	combined	Drop	0	0	0	0
8.5	7	combined	Drop	0	0	0	0
8.5	8	combined	Drop	2877	2981	1475	1528.3
9	0	combined	Drop	5648	159	2824	79.9766
9	1	combined	Drop	245	36	118	19.4668
9	2	combined	Drop	214	5	99	2.80371
