Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
0.5	0	combined	Drop	4473	126	2796	78.9336
0.5	1	combined	Drop	0	0	0	0
0.5	2	combined	Drop	96	2	60	1.69043
0.5	3	combined	Drop	0	0	0	0
0.5	4	combined	Drop	0	0	0	0
0.5	5	combined	Drop	168	14	105	8.99707
0.5	6	combined	Drop	0	0	0	0
0.5	7	combined	Drop	0	0	0	0
0.5	8	combined	Drop	2699	2796	1687	1747.79
1	0	combined	Drop	5355	151	2788	78.7275
1	1	combined	Drop	52	1	33	0.929688
1	2	combined	Drop	62	1	27	0.755859
1	3	combined	Drop	0	0	0	0
1	4	combined	Drop	6	6	4	4.14355
1	5	combined	Drop	76	12	27	5.79492
1	6	combined	Drop	0	0	0	0
1	7	combined	Drop	0	0	0	0
1	8	combined	Drop	3165	3279	1641	1700.19
1.5	0	combined	Drop	5317	150	2654	75.1621
1.5	1	combined	Drop	10	0	0	0
1.5	2	combined	Drop	102	2	56	1.58594
1.5	3	combined	Drop	0	0	0	0
1.5	4	combined	Drop	394	31	246	19.0605
1.5	5	combined	Drop	418	47	252	28.2998
1.5	6	combined	Drop	0	0	0	0
1.5	7	combined	Drop	12	1	8	1.23438
1.5	8	combined	Drop	2485	2575	1158	1199.84
2	0	combined	Drop	5577	157	2821	79.7783
2	1	combined	Drop	1	0	0	0
2	2	combined	Drop	113	3	58	1.64258
2	3	combined	Drop	0	0	0	0
2	4	combined	Drop	181	15	64	5.84375
2	5	combined	Drop	130	18	29	5.86035
2	6	combined	Drop	0	0	0	0
2	7	combined	Drop	32	5	19	3.55859
2	8	combined	Drop	2900	3004	1502	1556.23
2.5	0	combined	Drop	5635	159	2825	80.0049
2.5	1	combined	Drop	11	1	7	1.20605
2.5	2	combined	Drop	187	5	103	2.91699
2.5	3	combined	Drop	11	11	7	7.25293
2.5	4	combined	Drop	418	28	239	15.8389
2.5	5	combined	Drop	362	45	210	26.1035
2.5	6	combined	Drop	0	0	0	0
2.5	7	combined	Drop	6	0	0	0
2.5	8	combined	Drop	2428	2515	1155	1196.73
3	0	combined	Drop	5586	157	2787	78.833
3	1	combined	Drop	2	0	0	0
3	2	combined	Drop	48	1	7	0.198242
3	3	combined	Drop	2	2	0	0
3	4	combined	Drop	126	10	27	2.78027
3	5	combined	Drop	136	22	40	8.18652
3	6	combined	Drop	0	0	0	0
3	7	combined	Drop	9	1	5	1.14941
3	8	combined	Drop	3306	3425	1763	1826.63
3.5	0	combined	Drop	5635	159	2824	79.9766
3.5	1	combined	Drop	5	4	3	3.1084
3.5	2	combined	Drop	144	4	84	2.37891
3.5	3	combined	Drop	26	26	16	16.5781
3.5	4	combined	Drop	281	26	160	15.6172
3.5	5	combined	Drop	262	40	147	22.3037
3.5	6	combined	Drop	0	0	0	0
3.5	7	combined	Drop	21	3	12	2.35547
3.5	8	combined	Drop	2779	2879	1324	1371.84
4	0	combined	Drop	5642	159	2822	79.8223
4	1	combined	Drop	0	0	0	0
4	2	combined	Drop	123	3	59	1.6709
4	3	combined	Drop	5	5	0	0
4	4	combined	Drop	283	22	142	11.0732
4	5	combined	Drop	137	16	53	5.53223
4	6	combined	Drop	0	0	0	0
4	7	combined	Drop	4	0	0	0
4	8	combined	Drop	3146	3259	1619	1677.44
4.5	0	combined	Drop	5451	154	2702	76.5215
4.5	1	combined	Drop	0	0	0	0
4.5	2	combined	Drop	53	1	18	0.509766
4.5	3	combined	Drop	0	0	0	0
4.5	4	combined	Drop	509	70	283	41.2695
4.5	5	combined	Drop	184	28	98	15.875
4.5	6	combined	Drop	0	0	0	0
4.5	7	combined	Drop	0	0	0	0
4.5	8	combined	Drop	3002	3110	1483	1536.58
5	0	combined	Drop	5608	158	2824	79.9766
5	1	combined	Drop	172	17	108	11.1211
5	2	combined	Drop	186	5	110	3.11523
5	3	combined	Drop	0	0	0	0
5	4	combined	Drop	319	94	136	50.2109
5	5	combined	Drop	467	48	269	26.7666
5	6	combined	Drop	0	0	0	0
5	7	combined	Drop	0	0	0	0
5	8	combined	Drop	2819	2921	1387	1437.12
5.5	0	combined	Drop	5620	158	2812	79.5557
5.5	1	combined	Drop	56	5	14	1.4043
5.5	2	combined	Drop	105	2	43	1.2041
5.5	3	combined	Drop	0	0	0	0
5.5	4	combined	Drop	71	27	5	5.18066
5.5	5	combined	Drop	120	13	17	2.49316
5.5	6	combined	Drop	0	0	0	0
5.5	7	combined	Drop	0	0	0	0
5.5	8	combined	Drop	3479	3604	1822	1887.79
6	0	combined	Drop	5628	159	2815	79.7217
6	1	combined	Drop	246	12	147	7.18652
6	2	combined	Drop	150	4	81	2.29395
6	3	combined	Drop	0	0	0	0
6	4	combined	Drop	399	58	241	33.0283
6	5	combined	Drop	310	44	179	26.2334
6	6	combined	Drop	0	0	0	0
6	7	combined	Drop	0	0	0	0
6	8	combined	Drop	2812	2914	1323	1370.8
6.5	0	combined	Drop	5644	159	2824	79.9766
6.5	1	combined	Drop	81	4	20	1.57422
6.5	2	combined	Drop	76	2	29	0.821289
6.5	3	combined	Drop	0	0	0	0
6.5	4	combined	Drop	483	66	252	34.3477
6.5	5	combined	Drop	394	53	208	28.0625
6.5	6	combined	Drop	0	0	0	0
6.5	7	combined	Drop	0	0	0	0
6.5	8	combined	Drop	3042	3152	1550	1606.01
7	0	combined	Drop	5645	159	2823	79.8584
7	1	combined	Drop	93	7	48	4.38281
7	2	combined	Drop	132	3	73	2.06738
7	3	combined	Drop	0	0	0	0
7	4	combined	Drop	143	61	29	30.0479
7	5	combined	Drop	363	36	178	16.127
7	6	combined	Drop	0	0	0	0
7	7	combined	Drop	0	0	0	0
7	8	combined	Drop	3130	3243	1576	1632.94
7.5	0	combined	Drop	5647	159	2824	79.9766
7.5	1	combined	Drop	18	1	0	0
7.5	2	combined	Drop	111	3	53	1.50098
7.5	3	combined	Drop	0	0	0	0
7.5	4	combined	Drop	425	41	248	18.1025
7.5	5	combined	Drop	314	39	151	20.4004
7.5	6	combined	Drop	0	0	0	0
7.5	7	combined	Drop	0	0	0	0
7.5	8	combined	Drop	3102	3214	1548	1603.88
8	0	combined	Drop	5649	159	2825	80.0049
8	1	combined	Drop	168	9	103	5.94043
8	2	combined	Drop	179	5	98	2.77539
8	3	combined	Drop	0	0	0	0
8	4	combined	Drop	520	75	272	41.9688
8	5	combined	Drop	534	71	295	39.5967
8	6	combined	Drop	0	0	0	0
8	7	combined	Drop	0	0	0	0
8	8	combined	Drop	2703	2801	1302	1349.04
8.5	0	combined	Drop	5648	159	2824	79.9766
8.5	1	combined	Drop	102	8	43	4.24121
8.5	2	combined	Drop	154	4	74	2.0957
8.5	3	combined	Drop	0	0	0	0
8.5	4	combined	Drop	571	84	292	43.543
8.5	5	combined	Drop	503	62	248	30.2031
8.5	6	combined	Drop	0	0	0	0
8.5	7	combined	Drop	0	0	0	0
8.5	8	combined	Drop	2699	2796	1349	1397.74
9	0	combined	Drop	5630	159	2813	79.5928
9	1	combined	Drop	183	9	102	4.9043
9	2	combined	Drop	202	5	107	3.02832
9	3	combined	Drop	0	0	0	0
