Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
8	4	combined	Drop	395	60	196	28.7246
8	5	combined	Drop	344	32	193	16.5381
8	6	combined	Drop	0	0	0	0
8	7	combined	Drop	0	0	0	0
8	8	combined	Drop	2405	2492	1187	1229.84
8.5	0	combined	Drop	5649	159	2834	80.2598
8.5	1	combined	Drop	457	43	226	22.5254
8.5	2	combined	Drop	352	9	158	4.47461
8.5	3	combined	Drop	0	0	0	0
8.5	4	combined	Drop	399	64	200	32.875
8.5	5	combined	Drop	270	28	126	13.6465
8.5	6	combined	Drop	0	0	0	0
8.5	7	combined	Drop	0	0	0	0
8.5	8	combined	Drop	2573	2666	1308	1355.26
9	0	combined	Drop	5651	159	2826	80.0332
9	1	combined	Drop	395	44	190	22.5137
9	2	combined	Drop	302	8	145	4.10645
9	3	combined	Drop	0	0	0	0
9	4	combined	Drop	353	78	171	41.124
9	5	combined	Drop	295	52	151	29.4717
9	6	combined	Drop	0	0	0	0
9	7	combined	Drop	0	0	0	0
9	8	combined	Drop	2805	2907	1432	1483.74
9.5	0	combined	Drop	5615	158	2803	79.3252
9.5	1	combined	Drop	274	38	122	18.5713
9.5	2	combined	Drop	189	5	81	2.29395
9.5	3	combined	Drop	0	0	0	0
9.5	4	combined	Drop	349	75	174	37.1777
9.5	5	combined	Drop	222	29	102	11.9551
9.5	6	combined	Drop	0	0	0	0
9.5	7	combined	Drop	0	0	0	0
9.5	8	combined	Drop	3101	3214	1588	1645.38
10	0	combined	Drop	5619	158	2810	79.5801
10	1	combined	Drop	54	7	0	0
10	2	combined	Drop	79	2	26	0.736328
10	3	combined	Drop	0	0	0	0
10	4	combined	Drop	562	48	308	20.8164
10	5	combined	Drop	217	44	108	24.2207
10	6	combined	Drop	0	0	0	0
10	7	combined	Drop	0	0	0	0
10	8	combined	Drop	3261	3379	1651	1710.62
10.5	0	combined	Drop	5643	159	2825	80.0049
10.5	1	combined	Drop	10	1	0	0
10.5	2	combined	Drop	15	0	0	0
10.5	3	combined	Drop	0	0	0	0
10.5	4	combined	Drop	307	42	122	20.5879
10.5	5	combined	Drop	229	31	116	14.3711
10.5	6	combined	Drop	0	0	0	0
10.5	7	combined	Drop	0	0	0	0
10.5	8	combined	Drop	3463	3588	1757	1820.49
11	0	combined	Drop	5648	159	2825	80.0049
11	1	combined	Drop	1	0	0	0
11	2	combined	Drop	12	0	6	0.169922
11	3	combined	Drop	0	0	0	0
11	4	combined	Drop	466	40	253	20.2666
11	5	combined	Drop	308	37	164	19.7617
11	6	combined	Drop	0	0	0	0
11	7	combined	Drop	0	0	0	0
11	8	combined	Drop	3260	3378	1605	1662.99
11.5	0	combined	Drop	5648	159	2824	79.9766
11.5	1	combined	Drop	107	7	67	4.9209
11.5	2	combined	Drop	104	2	64	1.8125
11.5	3	combined	Drop	0	0	0	0
11.5	4	combined	Drop	373	32	175	15.0342
11.5	5	combined	Drop	372	46	194	24.6426
11.5	6	combined	Drop	0	0	0	0
11.5	7	combined	Drop	0	0	0	0
11.5	8	combined	Drop	3135	3248	1552	1608.08
12	0	combined	Drop	5643	159	2821	79.7793
12	1	combined	Drop	21	1	0	0
12	2	combined	Drop	35	0	9	0.25293
12	3	combined	Drop	0	0	0	0
12	4	combined	Drop	74	6	0	0
12	5	combined	Drop	152	16	49	4.40234
12	6	combined	Drop	0	0	0	0
12	7	combined	Drop	0	0	0	0
12	8	combined	Drop	3910	4051	2052	2126.06
12.5	0	combined	Drop	5680	160	2845	80.5713
12.5	1	combined	Drop	359	29	222	18.374
12.5	2	combined	Drop	256	7	156	4.41797
12.5	3	combined	Drop	0	0	0	0
12.5	4	combined	Drop	14	1	0	0
12.5	5	combined	Drop	30	3	0	0
12.5	6	combined	Drop	0	0	0	0
12.5	7	combined	Drop	0	0	0	0
12.5	8	combined	Drop	3521	3648	1712	1773.86
13	0	combined	Drop	5688	160	2845	80.5713
13	1	combined	Drop	71	5	0	0
13	2	combined	Drop	51	1	0	0
13	3	combined	Drop	0	0	0	0
13	4	combined	Drop	2	0	0	0
13	5	combined	Drop	5	0	0	0
13	6	combined	Drop	0	0	0	0
13	7	combined	Drop	0	0	0	0
13	8	combined	Drop	4057	4204	2096	2171.73
13.5	0	combined	Drop	5689	160	2845	80.5713
13.5	1	combined	Drop	14	0	0	0
13.5	2	combined	Drop	10	0	0	0
13.5	3	combined	Drop	0	0	0	0
13.5	4	combined	Drop	0	0	0	0
13.5	5	combined	Drop	0	0	0	0
13.5	6	combined	Drop	0	0	0	0
13.5	7	combined	Drop	0	0	0	0
13.5	8	combined	Drop	4165	4315	2096	2171.73
14	0	combined	Drop	5688	160	2844	80.543
14	1	combined	Drop	2	0	0	0
14	2	combined	Drop	1	0	0	0
14	3	combined	Drop	0	0	0	0
14	4	combined	Drop	0	0	0	0
14	5	combined	Drop	0	0	0	0
14	6	combined	Drop	0	0	0	0
14	7	combined	Drop	0	0	0	0
14	8	combined	Drop	4186	4337	2096	2171.73
14.5	0	combined	Drop	5654	159	2823	79.8838
14.5	1	combined	Drop	0	0	0	0
14.5	2	combined	Drop	0	0	0	0
14.5	3	combined	Drop	0	0	0	0
14.5	4	combined	Drop	0	0	0	0
14.5	5	combined	Drop	12	0	8	0.21875
14.5	6	combined	Drop	0	0	0	0
14.5	7	combined	Drop	0	0	0	0
14.5	8	combined	Drop	4194	4345	2098	2173.76
15	0	combined	Drop	5682	160	2845	80.5713
15	1	combined	Drop	132	29	83	18.4688
15	2	combined	Drop	83	2	52	1.47266
15	3	combined	Drop	0	0	0	0
15	4	combined	Drop	0	0	0	0
15	5	combined	Drop	2	0	0	0
15	6	combined	Drop	0	0	0	0
15	7	combined	Drop	0	0	0	0
15	8	combined	Drop	4008	4153	1981	2052.58
15.5	0	combined	Drop	5688	160	2845	80.5713
15.5	1	combined	Drop	26	5	0	0
15.5	2	combined	Drop	16	0	0	0
15.5	3	combined	Drop	0	0	0	0
15.5	4	combined	Drop	0	0	0	0
15.5	5	combined	Drop	0	0	0	0
15.5	6	combined	Drop	0	0	0	0
15.5	7	combined	Drop	0	0	0	0
15.5	8	combined	Drop	4155	4305	2096	2171.73
16	0	combined	Drop	5688	160	2844	80.543
16	1	combined	Drop	5	0	0	0
16	2	combined	Drop	3	0	0	0
16	3	combined	Drop	0	0	0	0
16	4	combined	Drop	0	0	0	0
16	5	combined	Drop	0	0	0	0
16	6	combined	Drop	0	0	0	0
16	7	combined	Drop	0	0	0	0
16	8	combined	Drop	4186	4337	2097	2172.77
16.5	0	combined	Drop	5689	160	2845	80.5713
16.5	1	combined	Drop	0	0	0	0
16.5	2	combined	Drop	0	0	0	0
16.5	3	combined	Drop	0	0	0	0
16.5	4	combined	Drop	0	0	0	0
16.5	5	combined	Drop	0	0	0	0
16.5	6	combined	Drop	0	0	0	0
16.5	7	combined	Drop	0	0	0	0
16.5	8	combined	Drop	4190	4342	2096	2171.73
17	0	combined	Drop	5688	160	2844	80.4951
17	1	combined	Drop	0	0	0	0
17	2	combined	Drop	0	0	0	0
17	3	combined	Drop	0	0	0	0
17	4	combined	Drop	0	0	0	0
17	5	combined	Drop	0	0	0	0
17	6	combined	Drop	0	0	0	0
17	7	combined	Drop	0	0	0	0
17	8	combined	Drop	4193	4344	2097	2172.73
17.5	0	combined	Drop	5654	159	2823	79.9111
17.5	1	combined	Drop	302	34	189	21.4658
17.5	2	combined	Drop	208	5	130	3.68164
17.5	3	combined	Drop	0	0	0	0
17.5	4	combined	Drop	0	0	0	0
