Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
0.5	0	combined	Drop	4473	126	2796	78.9336
0.5	1	combined	Drop	0	0	0	0
0.5	2	combined	Drop	96	2	60	1.69043
0.5	3	combined	Drop	0	0	0	0
0.5	4	combined	Drop	0	0	0	0
0.5	5	combined	Drop	168	14	105	8.99707
0.5	6	combined	Drop	0	0	0	0
0.5	7	combined	Drop	0	0	0	0
0.5	8	combined	Drop	2699	2796	1687	1747.79
1	0	combined	Drop	5136	145	2651	74.9482
1	1	combined	Drop	0	0	0	0
1	2	combined	Drop	36	0	11	0.304688
1	3	combined	Drop	0	0	0	0
1	4	combined	Drop	0	0	0	0
1	5	combined	Drop	65	6	20	2.57617
1	6	combined	Drop	0	0	0	0
1	7	combined	Drop	0	0	0	0
1	8	combined	Drop	3072	3183	1583	1640.14
1.5	0	combined	Drop	5547	157	2825	80.0049
1.5	1	combined	Drop	51	14	32	8.96875
1.5	2	combined	Drop	60	1	33	0.93457
1.5	3	combined	Drop	0	0	0	0
1.5	4	combined	Drop	416	37	260	23.4883
1.5	5	combined	Drop	462	47	281	29.1211
1.5	6	combined	Drop	0	0	0	0
1.5	7	combined	Drop	0	0	0	0
1.5	8	combined	Drop	2513	2604	1187	1229.89
2	0	combined	Drop	5623	159	2821	79.7803
2	1	combined	Drop	10	2	0	0
2	2	combined	Drop	71	1	37	1.04785
2	3	combined	Drop	0	0	0	0
2	4	combined	Drop	179	24	60	10.7686
2	5	combined	Drop	167	21	47	7.375
2	6	combined	Drop	0	0	0	0
2	7	combined	Drop	64	5	40	3.14844
2	8	combined	Drop	2853	2956	1469	1522.03
2.5	0	combined	Drop	5644	159	2825	80.0049
2.5	1	combined	Drop	6	5	3	3.1084
2.5	2	combined	Drop	67	1	33	0.93457
2.5	3	combined	Drop	12	13	8	8.28906
2.5	4	combined	Drop	451	37	260	20.4648
2.5	5	combined	Drop	395	38	226	21.5176
2.5	6	combined	Drop	0	0	0	0
2.5	7	combined	Drop	12	0	0	0
2.5	8	combined	Drop	2481	2570	1194	1237.14
3	0	combined	Drop	5658	159	2831	80.0615
3	1	combined	Drop	130	14	81	8.33887
3	2	combined	Drop	160	4	92	2.60547
3	3	combined	Drop	2	2	0	0
3	4	combined	Drop	168	19	49	7.43359
3	5	combined	Drop	141	22	39	9.16504
3	6	combined	Drop	0	0	0	0
3	7	combined	Drop	2	0	0	0
3	8	combined	Drop	3070	3181	1609	1667.08
3.5	0	combined	Drop	5651	159	2825	80.0049
3.5	1	combined	Drop	38	11	8	5.26562
3.5	2	combined	Drop	83	2	32	0.90625
3.5	3	combined	Drop	10	10	6	6.2168
3.5	4	combined	Drop	350	33	198	18.709
3.5	5	combined	Drop	386	41	224	23.4766
3.5	6	combined	Drop	0	0	0	0
3.5	7	combined	Drop	11	1	7	1.20605
3.5	8	combined	Drop	2774	2874	1350	1398.78
4	0	combined	Drop	5645	159	2822	79.8223
4	1	combined	Drop	10	5	2	2.07227
4	2	combined	Drop	123	3	67	1.89551
4	3	combined	Drop	1	1	0	0
4	4	combined	Drop	196	19	79	8.28418
4	5	combined	Drop	186	20	68	7.97266
4	6	combined	Drop	0	0	0	0
4	7	combined	Drop	2	0	0	0
4	8	combined	Drop	3044	3154	1556	1612.16
4.5	0	combined	Drop	5649	159	2825	80.0049
4.5	1	combined	Drop	1	0	0	0
4.5	2	combined	Drop	71	1	29	0.821289
4.5	3	combined	Drop	0	0	0	0
4.5	4	combined	Drop	415	66	235	38.9053
4.5	5	combined	Drop	142	24	66	12.9551
4.5	6	combined	Drop	0	0	0	0
4.5	7	combined	Drop	0	0	0	0
4.5	8	combined	Drop	3239	3356	1644	1703.4
5	0	combined	Drop	5632	159	2814	79.6934
5	1	combined	Drop	61	19	38	12.1621
5	2	combined	Drop	14	0	0	0
5	3	combined	Drop	0	0	0	0
5	4	combined	Drop	673	96	369	51.7705
5	5	combined	Drop	412	54	240	30.9844
5	6	combined	Drop	0	0	0	0
5	7	combined	Drop	0	0	0	0
5	8	combined	Drop	2947	3053	1437	1488.92
5.5	0	combined	Drop	5657	159	2832	80.1016
5.5	1	combined	Drop	55	5	27	0.764648
5.5	2	combined	Drop	44	1	26	0.736328
5.5	3	combined	Drop	0	0	0	0
5.5	4	combined	Drop	137	22	2	2.07227
5.5	5	combined	Drop	138	31	35	13.082
5.5	6	combined	Drop	0	0	0	0
5.5	7	combined	Drop	0	0	0	0
5.5	8	combined	Drop	3675	3808	1929	1998.63
6	0	combined	Drop	5649	159	2824	79.9766
6	1	combined	Drop	54	2	27	0.764648
6	2	combined	Drop	31	0	14	0.396484
6	3	combined	Drop	0	0	0	0
6	4	combined	Drop	654	56	392	32.2656
6	5	combined	Drop	523	54	310	29.9434
6	6	combined	Drop	0	0	0	0
6	7	combined	Drop	0	0	0	0
6	8	combined	Drop	2955	3062	1388	1438.15
6.5	0	combined	Drop	5649	159	2825	80.0049
6.5	1	combined	Drop	10	0	0	0
6.5	2	combined	Drop	60	1	34	0.962891
6.5	3	combined	Drop	0	0	0	0
6.5	4	combined	Drop	489	72	224	38.5938
6.5	5	combined	Drop	507	52	252	26.2852
6.5	6	combined	Drop	0	0	0	0
6.5	7	combined	Drop	0	0	0	0
6.5	8	combined	Drop	2936	3042	1466	1518.97
7	0	combined	Drop	5646	159	2823	79.8652
7	1	combined	Drop	1	0	0	0
7	2	combined	Drop	116	3	65	1.84082
7	3	combined	Drop	0	0	0	0
7	4	combined	Drop	97	14	0	0
7	5	combined	Drop	291	22	119	7.39844
7	6	combined	Drop	0	0	0	0
7	7	combined	Drop	0	0	0	0
7	8	combined	Drop	3321	3441	1709	1770.68
7.5	0	combined	Drop	5633	159	2815	79.7217
7.5	1	combined	Drop	0	0	0	0
7.5	2	combined	Drop	124	3	63	1.78418
7.5	3	combined	Drop	0	0	0	0
7.5	4	combined	Drop	241	38	139	22.0771
7.5	5	combined	Drop	347	41	181	23.2666
7.5	6	combined	Drop	0	0	0	0
7.5	7	combined	Drop	0	0	0	0
7.5	8	combined	Drop	3203	3319	1587	1644.34
8	0	combined	Drop	5646	159	2825	80.0049
8	1	combined	Drop	44	2	28	1.80078
8	2	combined	Drop	82	2	36	1.01953
8	3	combined	Drop	0	0	0	0
8	4	combined	Drop	429	57	238	30.9277
8	5	combined	Drop	403	59	209	32.1221
8	6	combined	Drop	0	0	0	0
8	7	combined	Drop	0	0	0	0
8	8	combined	Drop	3042	3152	1501	1555.24
8.5	0	combined	Drop	5647	159	2824	79.9766
8.5	1	combined	Drop	8	0	0	0
8.5	2	combined	Drop	21	0	3	0.0849609
8.5	3	combined	Drop	0	0	0	0
8.5	4	combined	Drop	341	57	160	28.7188
8.5	5	combined	Drop	423	52	214	25.209
8.5	6	combined	Drop	0	0	0	0
8.5	7	combined	Drop	0	0	0	0
8.5	8	combined	Drop	3133	3246	1578	1635.02
9	0	combined	Drop	5548	156	2762	78.1279
9	1	combined	Drop	44	1	27	0.764648
9	2	combined	Drop	5	0	1	0.0283203
9	3	combined	Drop	0	0	0	0
9	4	combined	Drop	285	32	136	12.9219
