Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
0.5	0	combined	Drop	4473	126	2796	78.9336
0.5	1	combined	Drop	0	0	0	0
0.5	2	combined	Drop	96	2	60	1.69043
0.5	3	combined	Drop	0	0	0	0
0.5	4	combined	Drop	0	0	0	0
0.5	5	combined	Drop	168	14	105	8.99707
0.5	6	combined	Drop	0	0	0	0
0.5	7	combined	Drop	0	0	0	0
0.5	8	combined	Drop	2699	2796	1687	1747.79
1	0	combined	Drop	5355	151	2788	78.7275
1	1	combined	Drop	52	1	33	0.929688
1	2	combined	Drop	62	1	27	0.755859
1	3	combined	Drop	0	0	0	0
1	4	combined	Drop	6	6	4	4.14355
1	5	combined	Drop	76	12	27	5.79492
1	6	combined	Drop	0	0	0	0
1	7	combined	Drop	0	0	0	0
1	8	combined	Drop	3165	3279	1641	1700.19
1.5	0	combined	Drop	5554	156	2802	79.2393
1.5	1	combined	Drop	10	0	0	0
1.5	2	combined	Drop	121	3	68	1.92578
1.5	3	combined	Drop	0	0	0	0
1.5	4	combined	Drop	402	35	251	21.2178
1.5	5	combined	Drop	364	54	218	32.3633
1.5	6	combined	Drop	0	0	0	0
1.5	7	combined	Drop	12	1	8	1.23438
1.5	8	combined	Drop	2586	2679	1221	1265.08
2	0	combined	Drop	5590	157	2800	79.1943
2	1	combined	Drop	1	0	0	0
2	2	combined	Drop	89	2	41	1.16113
2	3	combined	Drop	0	0	0	0
2	4	combined	Drop	182	22	64	9.875
2	5	combined	Drop	112	19	25	5.74707
2	6	combined	Drop	0	0	0	0
2	7	combined	Drop	23	2	13	1.375
2	8	combined	Drop	2963	3070	1529	1584.23
2.5	0	combined	Drop	5638	159	2825	80.0049
2.5	1	combined	Drop	29	2	18	1.51758
2.5	2	combined	Drop	173	4	97	2.74707
2.5	3	combined	Drop	16	16	10	10.3613
2.5	4	combined	Drop	354	37	199	20.7529
2.5	5	combined	Drop	347	46	203	26.9131
2.5	6	combined	Drop	0	0	0	0
2.5	7	combined	Drop	4	0	0	0
2.5	8	combined	Drop	2391	2477	1124	1164.61
3	0	combined	Drop	5623	158	2810	79.4756
3	1	combined	Drop	77	2	45	1.27441
3	2	combined	Drop	149	4	72	2.03906
3	3	combined	Drop	3	3	0	0
3	4	combined	Drop	121	12	32	2.92188
3	5	combined	Drop	178	26	68	10.9941
3	6	combined	Drop	0	0	0	0
3	7	combined	Drop	7	1	4	1.12109
3	8	combined	Drop	3107	3219	1643	1702.3
3.5	0	combined	Drop	5646	159	2826	80.0332
3.5	1	combined	Drop	50	4	22	2.63867
3.5	2	combined	Drop	114	3	53	1.50098
3.5	3	combined	Drop	18	18	11	11.3975
3.5	4	combined	Drop	462	34	274	19.8535
3.5	5	combined	Drop	266	42	144	23.2266
3.5	6	combined	Drop	0	0	0	0
3.5	7	combined	Drop	12	2	7	1.20605
3.5	8	combined	Drop	2715	2813	1309	1356.3
4	0	combined	Drop	5612	158	2802	79.2627
4	1	combined	Drop	9	0	0	0
4	2	combined	Drop	136	3	71	2.00586
4	3	combined	Drop	3	3	0	0
4	4	combined	Drop	137	17	28	6.83984
4	5	combined	Drop	146	22	58	8.67871
4	6	combined	Drop	0	0	0	0
4	7	combined	Drop	2	0	0	0
4	8	combined	Drop	3293	3412	1719	1781.07
4.5	0	combined	Drop	5642	159	2825	80.0049
4.5	1	combined	Drop	3	1	1	1.03613
4.5	2	combined	Drop	28	0	1	0.0283203
4.5	3	combined	Drop	0	0	0	0
4.5	4	combined	Drop	517	70	306	41.9238
4.5	5	combined	Drop	136	30	67	16.0068
4.5	6	combined	Drop	0	0	0	0
4.5	7	combined	Drop	0	0	0	0
4.5	8	combined	Drop	3329	3449	1669	1729.31
5	0	combined	Drop	5630	159	2814	79.6934
5	1	combined	Drop	219	35	137	22.0205
5	2	combined	Drop	197	5	120	3.39844
5	3	combined	Drop	0	0	0	0
5	4	combined	Drop	453	83	219	43.4912
5	5	combined	Drop	355	37	205	19.915
5	6	combined	Drop	0	0	0	0
5	7	combined	Drop	0	0	0	0
5	8	combined	Drop	2809	2911	1340	1388.42
5.5	0	combined	Drop	5625	159	2812	79.542
5.5	1	combined	Drop	45	7	1	0.0273438
5.5	2	combined	Drop	42	1	2	0.0566406
5.5	3	combined	Drop	0	0	0	0
5.5	4	combined	Drop	100	16	6	0.169922
5.5	5	combined	Drop	112	26	26	11.8213
5.5	6	combined	Drop	0	0	0	0
5.5	7	combined	Drop	0	0	0	0
5.5	8	combined	Drop	3747	3882	1991	2062.88
6	0	combined	Drop	5645	159	2825	80.0049
6	1	combined	Drop	148	11	87	6.49512
6	2	combined	Drop	152	4	90	2.54883
6	3	combined	Drop	0	0	0	0
6	4	combined	Drop	530	61	319	36.2451
6	5	combined	Drop	708	52	429	29.2822
6	6	combined	Drop	0	0	0	0
6	7	combined	Drop	0	0	0	0
6	8	combined	Drop	2658	2754	1193	1236.11
6.5	0	combined	Drop	5647	159	2824	79.9766
6.5	1	combined	Drop	53	7	15	3.44824
6.5	2	combined	Drop	89	2	37	1.04785
6.5	3	combined	Drop	0	0	0	0
6.5	4	combined	Drop	573	80	292	42.5352
6.5	5	combined	Drop	535	65	246	34.1777
6.5	6	combined	Drop	0	0	0	0
6.5	7	combined	Drop	0	0	0	0
6.5	8	combined	Drop	2776	2876	1403	1453.69
7	0	combined	Drop	5612	158	2802	79.2764
7	1	combined	Drop	76	6	41	3.17676
7	2	combined	Drop	153	4	85	2.40137
7	3	combined	Drop	0	0	0	0
7	4	combined	Drop	175	35	38	12.1621
7	5	combined	Drop	166	22	37	6.08105
7	6	combined	Drop	0	0	0	0
7	7	combined	Drop	0	0	0	0
7	8	combined	Drop	3160	3274	1628	1686.77
7.5	0	combined	Drop	5578	157	2785	78.7949
7.5	1	combined	Drop	119	5	65	2.84863
7.5	2	combined	Drop	217	6	117	3.31348
7.5	3	combined	Drop	0	0	0	0
7.5	4	combined	Drop	275	54	150	29.4414
7.5	5	combined	Drop	303	23	169	11.8203
7.5	6	combined	Drop	0	0	0	0
7.5	7	combined	Drop	0	0	0	0
7.5	8	combined	Drop	3075	3186	1527	1582.14
8	0	combined	Drop	5634	159	2824	79.9766
8	1	combined	Drop	36	1	8	0.226562
8	2	combined	Drop	94	2	32	0.90625
8	3	combined	Drop	0	0	0	0
8	4	combined	Drop	528	80	296	43.6562
8	5	combined	Drop	372	48	195	27.6943
8	6	combined	Drop	0	0	0	0
8	7	combined	Drop	0	0	0	0
8	8	combined	Drop	3119	3231	1565	1621.55
8.5	0	combined	Drop	5646	159	2825	80.0049
8.5	1	combined	Drop	170	8	102	4.9043
8.5	2	combined	Drop	158	4	87	2.46387
8.5	3	combined	Drop	0	0	0	0
8.5	4	combined	Drop	424	70	199	33.8545
8.5	5	combined	Drop	452	58	236	30.8711
8.5	6	combined	Drop	0	0	0	0
8.5	7	combined	Drop	0	0	0	0
8.5	8	combined	Drop	2766	2866	1339	1387.38
9	0	combined	Drop	5606	158	2798	79.1699
9	1	combined	Drop	128	5	59	2.67871
9	2	combined	Drop	114	3	52	1.47266
