Time	Node	Type	Packets	
6.5	8	CacheMisses	422
7	0	CacheHits	27
7	0	CacheMisses	47
7	1	CacheHits	120
7	1	CacheMisses	151
7	2	CacheHits	0
7	2	CacheMisses	152
7	3	CacheHits	2
7	3	CacheMisses	48
7	4	CacheHits	22
7	4	CacheMisses	48
7	5	CacheHits	44
7	5	CacheMisses	169
7	6	CacheHits	0
7	6	CacheMisses	173
7	7	CacheHits	2
7	7	CacheMisses	109
7	8	CacheHits	93
7	8	CacheMisses	269
7.5	0	CacheHits	27
7.5	0	CacheMisses	31
7.5	1	CacheHits	10
7.5	1	CacheMisses	31
7.5	2	CacheHits	0
7.5	2	CacheMisses	35
7.5	3	CacheHits	82
7.5	3	CacheMisses	50
7.5	4	CacheHits	51
7.5	4	CacheMisses	55
7.5	5	CacheHits	20
7.5	5	CacheMisses	110
7.5	6	CacheHits	0
7.5	6	CacheMisses	114
7.5	7	CacheHits	9
7.5	7	CacheMisses	104
7.5	8	CacheHits	114
7.5	8	CacheMisses	283
8	0	CacheHits	33
8	0	CacheMisses	30
8	1	CacheHits	30
8	1	CacheMisses	91
8	2	CacheHits	0
8	2	CacheMisses	91
8	3	CacheHits	3
8	3	CacheMisses	30
8	4	CacheHits	54
8	4	CacheMisses	62
8	5	CacheHits	21
8	5	CacheMisses	68
8	6	CacheHits	1
8	6	CacheMisses	100
8	7	CacheHits	1
8	7	CacheMisses	107
8	8	CacheHits	100
8	8	CacheMisses	243
8.5	0	CacheHits	18
8.5	0	CacheMisses	29
8.5	1	CacheHits	107
8.5	1	CacheMisses	63
8.5	2	CacheHits	0
8.5	2	CacheMisses	60
8.5	3	CacheHits	15
8.5	3	CacheMisses	52
8.5	4	CacheHits	56
8.5	4	CacheMisses	54
8.5	5	CacheHits	6
8.5	5	CacheMisses	55
8.5	6	CacheHits	1
8.5	6	CacheMisses	108
8.5	7	CacheHits	8
8.5	7	CacheMisses	164
8.5	8	CacheHits	71
8.5	8	CacheMisses	417
9	0	CacheHits	21
9	0	CacheMisses	28
9	1	CacheHits	7
9	1	CacheMisses	48
9	2	CacheHits	0
9	2	CacheMisses	48
9	3	CacheHits	116
9	3	CacheMisses	54
9	4	CacheHits	134
9	4	CacheMisses	138
9	5	CacheHits	37
9	5	CacheMisses	105
9	6	CacheHits	0
9	6	CacheMisses	415
9	7	CacheHits	74
9	7	CacheMisses	314
9	8	CacheHits	148
9	8	CacheMisses	773
9.5	0	CacheHits	33
9.5	0	CacheMisses	18
9.5	1	CacheHits	150
9.5	1	CacheMisses	300
9.5	2	CacheHits	0
9.5	2	CacheMisses	294
9.5	3	CacheHits	9
9.5	3	CacheMisses	76
9.5	4	CacheHits	1
9.5	4	CacheMisses	102
9.5	5	CacheHits	53
9.5	5	CacheMisses	171
9.5	6	CacheHits	0
9.5	6	CacheMisses	99
9.5	7	CacheHits	2
9.5	7	CacheMisses	113
9.5	8	CacheHits	355
9.5	8	CacheMisses	510
10	0	CacheHits	28
10	0	CacheMisses	30
10	1	CacheHits	43
10	1	CacheMisses	286
10	2	CacheHits	0
10	2	CacheMisses	295
10	3	CacheHits	91
10	3	CacheMisses	150
10	4	CacheHits	64
10	4	CacheMisses	120
10	5	CacheHits	100
10	5	CacheMisses	202
10	6	CacheHits	0
10	6	CacheMisses	252
10	7	CacheHits	164
10	7	CacheMisses	121
10	8	CacheHits	99
10	8	CacheMisses	517
10.5	0	CacheHits	17
10.5	0	CacheMisses	16
10.5	1	CacheHits	150
10.5	1	CacheMisses	68
10.5	2	CacheHits	0
10.5	2	CacheMisses	85
10.5	3	CacheHits	9
10.5	3	CacheMisses	86
10.5	4	CacheHits	67
10.5	4	CacheMisses	64
10.5	5	CacheHits	45
10.5	5	CacheMisses	105
10.5	6	CacheHits	0
10.5	6	CacheMisses	44
10.5	7	CacheHits	4
10.5	7	CacheMisses	31
10.5	8	CacheHits	21
10.5	8	CacheMisses	279
11	0	CacheHits	24
11	0	CacheMisses	28
11	1	CacheHits	75
11	1	CacheMisses	61
11	2	CacheHits	0
11	2	CacheMisses	85
11	3	CacheHits	30
11	3	CacheMisses	84
11	4	CacheHits	58
11	4	CacheMisses	102
11	5	CacheHits	69
11	5	CacheMisses	103
11	6	CacheHits	0
11	6	CacheMisses	31
11	7	CacheHits	4
11	7	CacheMisses	53
11	8	CacheHits	75
11	8	CacheMisses	360
11.5	0	CacheHits	27
11.5	0	CacheMisses	43
11.5	1	CacheHits	63
11.5	1	CacheMisses	267
11.5	2	CacheHits	0
11.5	2	CacheMisses	278
11.5	3	CacheHits	124
11.5	3	CacheMisses	101
11.5	4	CacheHits	52
11.5	4	CacheMisses	67
11.5	5	CacheHits	39
11.5	5	CacheMisses	197
11.5	6	CacheHits	0
11.5	6	CacheMisses	83
11.5	7	CacheHits	114
11.5	7	CacheMisses	63
11.5	8	CacheHits	59
11.5	8	CacheMisses	371
12	0	CacheHits	32
12	0	CacheMisses	35
12	1	CacheHits	127
12	1	CacheMisses	152
12	2	CacheHits	3
12	2	CacheMisses	146
12	3	CacheHits	12
12	3	CacheMisses	87
12	4	CacheHits	39
12	4	CacheMisses	58
12	5	CacheHits	36
12	5	CacheMisses	117
12	6	CacheHits	0
12	6	CacheMisses	35
12	7	CacheHits	5
12	7	CacheMisses	47
12	8	CacheHits	66
12	8	CacheMisses	197
12.5	0	CacheHits	55
12.5	0	CacheMisses	40
12.5	1	CacheHits	41
12.5	1	CacheMisses	122
12.5	2	CacheHits	0
12.5	2	CacheMisses	71
12.5	3	CacheHits	202
12.5	3	CacheMisses	42
12.5	4	CacheHits	65
12.5	4	CacheMisses	45
12.5	5	CacheHits	10
12.5	5	CacheMisses	61
12.5	6	CacheHits	0
12.5	6	CacheMisses	128
12.5	7	CacheHits	78
12.5	7	CacheMisses	212
12.5	8	CacheHits	69
12.5	8	CacheMisses	289
13	0	CacheHits	25
13	0	CacheMisses	38
13	1	CacheHits	137
13	1	CacheMisses	97
13	2	CacheHits	1
13	2	CacheMisses	183
13	3	CacheHits	25
13	3	CacheMisses	52
13	4	CacheHits	65
13	4	CacheMisses	96
13	5	CacheHits	16
13	5	CacheMisses	173
13	6	CacheHits	0
13	6	CacheMisses	161
13	7	CacheHits	22
13	7	CacheMisses	180
13	8	CacheHits	66
13	8	CacheMisses	419
13.5	0	CacheHits	23
13.5	0	CacheMisses	36
13.5	1	CacheHits	142
13.5	1	CacheMisses	96
13.5	2	CacheHits	2
13.5	2	CacheMisses	118
13.5	3	CacheHits	204
13.5	3	CacheMisses	126
13.5	4	CacheHits	55
13.5	4	CacheMisses	103
13.5	5	CacheHits	45
13.5	5	CacheMisses	170
13.5	6	CacheHits	0
13.5	6	CacheMisses	117
13.5	7	CacheHits	49
13.5	7	CacheMisses	72
13.5	8	CacheHits	65
13.5	8	CacheMisses	252
14	0	CacheHits	31
14	0	CacheMisses	34
14	1	CacheHits	91
14	1	CacheMisses	67
14	2	CacheHits	2
14	2	CacheMisses	76
14	3	CacheHits	17
14	3	CacheMisses	144
14	4	CacheHits	77
14	4	CacheMisses	109
14	5	CacheHits	28
14	5	CacheMisses	109
14	6	CacheHits	0
14	6	CacheMisses	295
14	7	CacheHits	64
14	7	CacheMisses	125
14	8	CacheHits	137
14	8	CacheMisses	389
14.5	0	CacheHits	60
14.5	0	CacheMisses	27
14.5	1	CacheHits	177
14.5	1	CacheMisses	320
14.5	2	CacheHits	1
14.5	2	CacheMisses	526
14.5	3	CacheHits	33
14.5	3	CacheMisses	82
14.5	4	CacheHits	71
14.5	4	CacheMisses	184
14.5	5	CacheHits	44
14.5	5	CacheMisses	593
14.5	6	CacheHits	0
14.5	6	CacheMisses	121
14.5	7	CacheHits	47
14.5	7	CacheMisses	172
14.5	8	CacheHits	75
14.5	8	CacheMisses	947
15	0	CacheHits	45
15	0	CacheMisses	37
15	1	CacheHits	115
15	1	CacheMisses	232
15	2	CacheHits	10
15	2	CacheMisses	286
15	3	CacheHits	183
