Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
7.5	2	combined	Drop	0	0	0	0
7.5	3	combined	Drop	332	235	183	135.983
7.5	4	combined	Drop	814	301	431	159.229
7.5	5	combined	Drop	454	163	245	87.9248
7.5	6	combined	Drop	0	0	0	0
7.5	7	combined	Drop	111	62	66	38.0322
7.5	8	combined	Drop	1160	1202	583	604.057
8	0	combined	Drop	421	10	183	4.46777
8	1	combined	Drop	574	277	288	140.562
8	2	combined	Drop	0	0	0	0
8	3	combined	Drop	416	330	219	177.332
8	4	combined	Drop	823	385	413	203.31
8	5	combined	Drop	423	162	208	80.9482
8	6	combined	Drop	0	0	0	0
8	7	combined	Drop	148	31	79	12.0459
8	8	combined	Drop	1100	1140	543	562.615
8.5	0	combined	Drop	84	1	0	0
8.5	1	combined	Drop	556	229	276	108.912
8.5	2	combined	Drop	0	0	0	0
8.5	3	combined	Drop	427	339	215	171.164
8.5	4	combined	Drop	879	298	447	138.385
8.5	5	combined	Drop	425	239	213	129.639
8.5	6	combined	Drop	0	0	0	0
8.5	7	combined	Drop	103	45	46	24.3926
8.5	8	combined	Drop	1098	1138	549	568.829
9	0	combined	Drop	16	0	0	0
9	1	combined	Drop	562	396	282	219.329
9	2	combined	Drop	0	0	0	0
9	3	combined	Drop	522	319	273	157.402
9	4	combined	Drop	838	305	414	153.77
9	5	combined	Drop	273	144	118	60.5391
9	6	combined	Drop	0	0	0	0
9	7	combined	Drop	46	20	16	7.4707
9	8	combined	Drop	950	985	457	473.5
9.5	0	combined	Drop	275	6	170	4.15039
9.5	1	combined	Drop	698	519	366	274.995
9.5	2	combined	Drop	0	0	0	0
9.5	3	combined	Drop	598	415	309	219.993
9.5	4	combined	Drop	908	317	463	160.021
9.5	5	combined	Drop	329	152	172	77.042
9.5	6	combined	Drop	0	0	0	0
9.5	7	combined	Drop	122	31	71	16.9082
9.5	8	combined	Drop	1148	1190	599	620.64
10	0	combined	Drop	54	1	0	0
10	1	combined	Drop	600	445	288	213.398
10	2	combined	Drop	0	0	0	0
10	3	combined	Drop	590	376	294	183.198
10	4	combined	Drop	628	200	279	85.7207
10	5	combined	Drop	229	102	102	44.9805
10	6	combined	Drop	0	0	0	0
10	7	combined	Drop	139	28	72	13.8975
10	8	combined	Drop	1058	1096	518	536.699
10.5	0	combined	Drop	86	2	47	1.14453
10.5	1	combined	Drop	880	555	475	291.828
10.5	2	combined	Drop	0	0	0	0
10.5	3	combined	Drop	655	538	336	289.447
10.5	4	combined	Drop	631	269	316	143.283
10.5	5	combined	Drop	165	68	75	30.1582
10.5	6	combined	Drop	0	0	0	0
10.5	7	combined	Drop	58	6	19	0.463867
10.5	8	combined	Drop	837	867	391	405.123
11	0	combined	Drop	17	0	0	0
11	1	combined	Drop	764	552	368	276.055
11	2	combined	Drop	0	0	0	0
11	3	combined	Drop	633	581	314	295.995
11	4	combined	Drop	559	227	271	108.79
11	5	combined	Drop	55	19	14	3.37695
11	6	combined	Drop	0	0	0	0
11	7	combined	Drop	131	23	75	13.9707
11	8	combined	Drop	754	781	367	380.259
11.5	0	combined	Drop	70	1	42	1.02539
11.5	1	combined	Drop	760	533	380	264.207
11.5	2	combined	Drop	0	0	0	0
11.5	3	combined	Drop	518	438	245	201.229
11.5	4	combined	Drop	513	251	251	128.541
11.5	5	combined	Drop	497	93	304	55.9619
11.5	6	combined	Drop	0	0	0	0
11.5	7	combined	Drop	32	4	4	0.0976562
11.5	8	combined	Drop	806	835	410	424.808
12	0	combined	Drop	13	0	0	0
12	1	combined	Drop	825	553	421	279.384
12	2	combined	Drop	0	0	0	0
12	3	combined	Drop	714	583	382	309.796
12	4	combined	Drop	369	191	167	88.0488
12	5	combined	Drop	547	170	280	94.8516
12	6	combined	Drop	0	0	0	0
12	7	combined	Drop	208	117	126	72.8838
12	8	combined	Drop	729	755	355	367.82
12.5	0	combined	Drop	2	0	0	0
12.5	1	combined	Drop	822	581	411	294.303
12.5	2	combined	Drop	0	0	0	0
12.5	3	combined	Drop	1061	770	574	408.563
12.5	4	combined	Drop	433	218	225	112.732
12.5	5	combined	Drop	451	123	214	55.8096
12.5	6	combined	Drop	0	0	0	0
12.5	7	combined	Drop	100	50	37	17.0908
12.5	8	combined	Drop	683	708	336	348.137
13	0	combined	Drop	0	0	0	0
13	1	combined	Drop	746	528	364	257.746
13	2	combined	Drop	0	0	0	0
13	3	combined	Drop	991	762	487	380.135
13	4	combined	Drop	467	229	238	116.085
13	5	combined	Drop	283	90	121	41.3984
13	6	combined	Drop	0	0	0	0
13	7	combined	Drop	19	9	0	0
13	8	combined	Drop	786	814	406	420.668
13.5	0	combined	Drop	4	0	3	0.0732422
13.5	1	combined	Drop	798	573	406	292.165
13.5	2	combined	Drop	0	0	0	0
13.5	3	combined	Drop	974	708	485	347.721
13.5	4	combined	Drop	333	163	150	73.4668
13.5	5	combined	Drop	279	115	139	61.0596
13.5	6	combined	Drop	0	0	0	0
13.5	7	combined	Drop	3	1	0	0
13.5	8	combined	Drop	690	714	333	345.029
14	0	combined	Drop	84	2	52	1.26953
14	1	combined	Drop	935	785	485	419.544
14	2	combined	Drop	0	0	0	0
14	3	combined	Drop	945	771	469	393.859
14	4	combined	Drop	425	217	224	115.742
14	5	combined	Drop	227	74	107	31.9502
14	6	combined	Drop	0	0	0	0
14	7	combined	Drop	0	0	0	0
14	8	combined	Drop	605	626	292	302.545
14.5	0	combined	Drop	69	1	33	0.805664
14.5	1	combined	Drop	830	669	402	320.388
14.5	2	combined	Drop	0	0	0	0
14.5	3	combined	Drop	736	596	342	276.438
14.5	4	combined	Drop	390	181	191	86.6084
14.5	5	combined	Drop	211	85	104	44.0186
14.5	6	combined	Drop	0	0	0	0
14.5	7	combined	Drop	0	0	0	0
14.5	8	combined	Drop	628	650	317	328.452
15	0	combined	Drop	138	3	78	1.9043
15	1	combined	Drop	794	628	393	309.058
15	2	combined	Drop	0	0	0	0
15	3	combined	Drop	846	765	437	404.215
15	4	combined	Drop	382	148	190	70.3975
15	5	combined	Drop	133	51	57	21.626
15	6	combined	Drop	0	0	0	0
15	7	combined	Drop	0	0	0	0
15	8	combined	Drop	580	600	284	294.257
15.5	0	combined	Drop	146	3	74	1.80566
15.5	1	combined	Drop	798	649	400	327.426
15.5	2	combined	Drop	0	0	0	0
15.5	3	combined	Drop	905	837	460	428.043
15.5	4	combined	Drop	561	253	303	139.926
15.5	5	combined	Drop	90	34	40	15.1406
15.5	6	combined	Drop	0	0	0	0
15.5	7	combined	Drop	0	0	0	0
15.5	8	combined	Drop	732	758	385	398.906
16	0	combined	Drop	74	1	28	0.683594
16	1	combined	Drop	754	647	372	323.707
16	2	combined	Drop	0	0	0	0
16	3	combined	Drop	776	699	372	332.814
16	4	combined	Drop	600	274	305	139.974
16	5	combined	Drop	189	98	107	57.2451
16	6	combined	Drop	0	0	0	0
16	7	combined	Drop	0	0	0	0
16	8	combined	Drop	914	947	480	497.327
16.5	0	combined	Drop	109	4	59	2.45215
16.5	1	combined	Drop	875	760	453	394.486
16.5	2	combined	Drop	0	0	0	0
16.5	3	combined	Drop	900	815	466	422.123
16.5	4	combined	Drop	777	358	411	190.117
16.5	5	combined	Drop	103	51	41	20.2236
16.5	6	combined	Drop	0	0	0	0
16.5	7	combined	Drop	0	0	0	0
16.5	8	combined	Drop	798	827	385	398.906
17	0	combined	Drop	21	0	0	0
17	1	combined	Drop	887	800	445	405.417
17	2	combined	Drop	0	0	0	0
17	3	combined	Drop	1002	893	514	456.675
17	4	combined	Drop	646	292	307	138.003
17	5	combined	Drop	265	101	153	57.3555
17	6	combined	Drop	0	0	0	0
17	7	combined	Drop	0	0	0	0
17	8	combined	Drop	884	916	453	469.366
17.5	0	combined	Drop	4	0	0	0
17.5	1	combined	Drop	871	795	434	397.054
17.5	2	combined	Drop	0	0	0	0
17.5	3	combined	Drop	848	752	405	358.914
17.5	4	combined	Drop	657	289	330	144.637
17.5	5	combined	Drop	213	79	100	36.8398
17.5	6	combined	Drop	0	0	0	0
17.5	7	combined	Drop	17	3	11	2.29199
17.5	8	combined	Drop	749	776	358	370.934
18	0	combined	Drop	23	0	14	0.341797
18	1	combined	Drop	831	731	411	358.058
18	2	combined	Drop	0	0	0	0
18	3	combined	Drop	945	834	485	427.648
18	4	combined	Drop	641	311	319	158.53
18	5	combined	Drop	221	86	112	44.209
18	6	combined	Drop	0	0	0	0
18	7	combined	Drop	94	35	57	21.625
18	8	combined	Drop	769	796	387	400.978
18.5	0	combined	Drop	4	0	0	0
18.5	1	combined	Drop	915	816	468	419.133
18.5	2	combined	Drop	0	0	0	0
18.5	3	combined	Drop	923	869	459	439.148
18.5	4	combined	Drop	694	326	354	165.458
18.5	5	combined	Drop	178	70	84	33.4121
18.5	6	combined	Drop	0	0	0	0
18.5	7	combined	Drop	106	47	55	25.623
18.5	8	combined	Drop	889	921	460	476.618
19	0	combined	Drop	0	0	0	0
19	1	combined	Drop	888	797	441	396.212
19	2	combined	Drop	0	0	0	0
19	3	combined	Drop	810	729	391	347.448
19	4	combined	Drop	724	310	366	153.604
19	5	combined	Drop	144	60	68	28.9766
19	6	combined	Drop	0	0	0	0
19	7	combined	Drop	142	60	76	32.207
19	8	combined	Drop	832	862	409	423.771
19.5	0	combined	Drop	0	0	0	0
19.5	1	combined	Drop	894	804	448	403.475
19.5	2	combined	Drop	0	0	0	0
19.5	3	combined	Drop	902	824	463	424.08
19.5	4	combined	Drop	532	207	242	90.8896
19.5	5	combined	Drop	192	67	102	34.8652
19.5	6	combined	Drop	0	0	0	0
19.5	7	combined	Drop	111	36	52	15.4336
19.5	8	combined	Drop	808	837	401	415.479
20	0	combined	Drop	0	0	0	0
20	1	combined	Drop	953	866	484	440.771
20	2	combined	Drop	0	0	0	0
20	3	combined	Drop	946	861	479	435.594
20	4	combined	Drop	692	316	366	171.813
20	5	combined	Drop	200	70	101	35.8516
20	6	combined	Drop	0	0	0	0
20	7	combined	Drop	86	29	40	14.1289
20	8	combined	Drop	705	731	340	352.281
20.5	0	combined	Drop	0	0	0	0
20.5	1	combined	Drop	915	849	453	422.816
20.5	2	combined	Drop	0	0	0	0
20.5	3	combined	Drop	920	826	457	408.751
20.5	4	combined	Drop	730	296	370	145.607
20.5	5	combined	Drop	224	80	115	41.251
20.5	6	combined	Drop	0	0	0	0
20.5	7	combined	Drop	86	33	43	17.2363
20.5	8	combined	Drop	883	915	464	480.758
21	0	combined	Drop	0	0	0	0
21	1	combined	Drop	898	810	447	400.414
21	2	combined	Drop	0	0	0	0
21	3	combined	Drop	993	905	506	462.56
21	4	combined	Drop	877	408	457	218.556
21	5	combined	Drop	273	73	143	35.8623
21	6	combined	Drop	0	0	0	0
21	7	combined	Drop	90	31	46	15.2871
21	8	combined	Drop	707	733	332	343.992
21.5	0	combined	Drop	0	0	0	0
21.5	1	combined	Drop	1056	919	548	473.69
21.5	2	combined	Drop	0	0	0	0
21.5	3	combined	Drop	1040	921	526	463.042
21.5	4	combined	Drop	703	303	330	138.563
21.5	5	combined	Drop	224	68	106	33.9482
21.5	6	combined	Drop	0	0	0	0
21.5	7	combined	Drop	75	25	36	12.0078
21.5	8	combined	Drop	712	738	357	369.896
22	0	combined	Drop	0	0	0	0
22	1	combined	Drop	998	924	492	463.219
22	2	combined	Drop	0	0	0	0
22	3	combined	Drop	1060	983	533	499.637
22	4	combined	Drop	843	367	439	191.808
22	5	combined	Drop	180	65	85	32.4258
22	6	combined	Drop	0	0	0	0
22	7	combined	Drop	131	38	73	21.0039
22	8	combined	Drop	796	825	409	423.769
22.5	0	combined	Drop	0	0	0	0
22.5	1	combined	Drop	1081	968	551	489.954
22.5	2	combined	Drop	0	0	0	0
22.5	3	combined	Drop	978	888	479	432.562
22.5	4	combined	Drop	783	324	384	157.082
22.5	5	combined	Drop	271	101	147	55.1807
22.5	6	combined	Drop	0	0	0	0
22.5	7	combined	Drop	149	44	77	23.124
22.5	8	combined	Drop	847	877	430	445.526
23	0	combined	Drop	0	0	0	0
23	1	combined	Drop	1185	1065	606	544.919
23	2	combined	Drop	0	0	0	0
23	3	combined	Drop	1136	987	588	506.037
23	4	combined	Drop	699	281	339	135.745
23	5	combined	Drop	233	82	112	39.1504
23	6	combined	Drop	0	0	0	0
23	7	combined	Drop	119	43	56	21.6016
23	8	combined	Drop	801	830	395	409.267
23.5	0	combined	Drop	0	0	0	0
23.5	1	combined	Drop	1121	1001	553	493.034
23.5	2	combined	Drop	0	0	0	0
23.5	3	combined	Drop	1124	1001	561	502.342
23.5	4	combined	Drop	739	292	375	147.749
23.5	5	combined	Drop	200	55	96	24.5996
23.5	6	combined	Drop	0	0	0	0
23.5	7	combined	Drop	91	28	42	12.1543
23.5	8	combined	Drop	809	839	406	420.66
24	0	combined	Drop	0	0	0	0
24	1	combined	Drop	1128	1034	565	521.662
24	2	combined	Drop	0	0	0	0
24	3	combined	Drop	1037	924	508	452.491
24	4	combined	Drop	803	325	410	166.813
24	5	combined	Drop	196	65	98	33.7559
24	6	combined	Drop	0	0	0	0
24	7	combined	Drop	117	42	62	22.7559
24	8	combined	Drop	846	877	428	443.445
24.5	0	combined	Drop	0	0	0	0
24.5	1	combined	Drop	1265	1111	650	565.211
24.5	2	combined	Drop	0	0	0	0
24.5	3	combined	Drop	1175	998	605	508.477
24.5	4	combined	Drop	877	406	448	213.272
24.5	5	combined	Drop	205	70	104	35.9209
24.5	6	combined	Drop	0	0	0	0
24.5	7	combined	Drop	71	24	30	9.83789
24.5	8	combined	Drop	772	800	377	390.61
25	0	combined	Drop	0	0	0	0
25	1	combined	Drop	1248	1138	622	572.622
25	2	combined	Drop	0	0	0	0
25	3	combined	Drop	1185	1004	594	503.149
25	4	combined	Drop	857	374	426	183.387
25	5	combined	Drop	305	106	165	57.6445
25	6	combined	Drop	0	0	0	0
25	7	combined	Drop	84	30	44	16.249
25	8	combined	Drop	836	866	426	441.376
25.5	0	combined	Drop	0	0	0	0
25.5	1	combined	Drop	1190	1114	588	554.599
25.5	2	combined	Drop	0	0	0	0
25.5	3	combined	Drop	1253	989	635	493.016
25.5	4	combined	Drop	928	426	473	219.948
25.5	5	combined	Drop	472	123	257	63.9326
25.5	6	combined	Drop	0	0	0	0
25.5	7	combined	Drop	28	6	7	0.170898
25.5	8	combined	Drop	836	866	418	433.096
26	0	combined	Drop	0	0	0	0
26	1	combined	Drop	1276	1204	649	613.754
26	2	combined	Drop	0	0	0	0
26	3	combined	Drop	1281	1110	644	570.129
26	4	combined	Drop	945	417	475	207.851
26	5	combined	Drop	496	129	251	65.8135
26	6	combined	Drop	0	0	0	0
26	7	combined	Drop	10	1	3	0.0732422
26	8	combined	Drop	775	803	380	393.721
26.5	0	combined	Drop	0	0	0	0
26.5	1	combined	Drop	1311	1211	660	606.936
26.5	2	combined	Drop	0	0	0	0
26.5	3	combined	Drop	1289	1155	646	583.329
26.5	4	combined	Drop	899	371	444	179.781
26.5	5	combined	Drop	380	94	176	42.7393
26.5	6	combined	Drop	0	0	0	0
26.5	7	combined	Drop	34	9	20	5.5459
26.5	8	combined	Drop	691	715	335	347.088
27	0	combined	Drop	0	0	0	0
27	1	combined	Drop	1364	1228	689	616.748
27	2	combined	Drop	0	0	0	0
27	3	combined	Drop	1269	1107	632	547.581
27	4	combined	Drop	810	353	394	174.521
27	5	combined	Drop	213	72	86	33.457
27	6	combined	Drop	0	0	0	0
27	7	combined	Drop	8	1	1	0.0244141
27	8	combined	Drop	631	653	308	319.124
27.5	0	combined	Drop	0	0	0	0
27.5	1	combined	Drop	1431	1303	724	661.108
27.5	2	combined	Drop	0	0	0	0
27.5	3	combined	Drop	1401	1209	717	617.435
27.5	4	combined	Drop	818	376	410	191.093
27.5	5	combined	Drop	196	92	96	48.8799
27.5	6	combined	Drop	0	0	0	0
27.5	7	combined	Drop	4	0	2	0.0488281
27.5	8	combined	Drop	747	773	388	402.007
28	0	combined	Drop	0	0	0	0
28	1	combined	Drop	1375	1279	681	636.791
28	2	combined	Drop	0	0	0	0
28	3	combined	Drop	1478	1297	749	659.702
28	4	combined	Drop	765	319	376	152.83
